學年度,學校別,因病人數,因志趣不合人數,因經濟困難人數,因兵役人數,因出國人數,其他原因人數
97,高中,574,1297,125,6,844,1091
97,高職,631,2817,714,16,98,2130
98,高中,535,1157,125,6,816,1019
98,高職,624,2832,595,9,194,2143
99,高中,520,1183,88,21,852,856
99,高職,656,3477,522,25,148,1952
100,高中,547,1290,82,13,915,961
100,高職,701,3964,506,13,149,1867
101,高中,556,1195,83,6,779,979
101,高職,629,4030,458,13,139,1798
102,高中,510,1219,107,10,930,646
102,高職,634,3583,555,28,174,1369
103,高級中等學校,1447,7412,1570,123,1194,5907
104,高級中等學校,1373,7530,1468,96,1204,5815
105,高級中等學校,1462,7310,1451,81,1307,5528
106,高級中等學校,1360,6973,1229,45,1232,5119
107,高級中等學校,1435,6963,1071,40,1249,5321
108,高級中等學校總計,1437,6880,1037,25,933,4962
108,高級中等學校普通科,461,899,24,2,772,350
108,高級中等學校綜合高中,62,313,25,1,22,180
108,高級中等學校專業群科,655,3489,432,6,125,1887
108,高級中等學校實用技能學程,82,859,147,3,5,575
108,高級中等學校進修部,177,1320,409,13,9,1970
109,高級中等學校總計,1380,6220,844,28,265,3905
109,高級中等學校普通科,443,980,42,2,199,277
109,高級中等學校綜合高中,41,217,14,2,5,128
109,高級中等學校專業群科,679,3221,368,9,59,1429
109,高級中等學校實用技能學程,84,746,141,5,1,405
109,高級中等學校進修部,133,1056,279,10,1,1666
